01:42:35:906482|0059-00001:PSH::VarName[syscomponent],VarValue[0],Type[3],Desc[]
01:42:35:906489|0059-00001:PSH::VarName[MONITOR_PORT],VarValue[0],Type[3],Desc[]
01:42:35:906497|0055-00001:PSH::VarName[calive],VarValue[240],Type[3],Desc[]
01:42:35:906503|0078-00001:PSH::VarName[ignore_daemon_object_collisions],VarValue[1],Type[3],Desc[]
01:42:35:906509|0060-00001:PSH::VarName[audit_enabled],VarValue[1],Type[3],Desc[]
01:42:35:906515|0062-00001:PSH::VarName[filebuffer],VarValue[131072],Type[3],Desc[]
01:42:35:906521|0061-00001:PSH::VarName[logsflushtime],VarValue[-1],Type[3],Desc[]
01:42:35:906528|0058-00001:PSH::VarName[mindiskfree],VarValue[0],Type[3],Desc[]
01:42:35:906534|0065-00001:PSH::VarName[deadlock_detection],VarValue[1],Type[3],Desc[]
01:42:35:906540|0062-00001:PSH::VarName[logsasyncwait],VarValue[200],Type[3],Desc[]
01:42:35:906548|0066-00001:PSH::VarName[keystore.client.path],VarValue[],Type[3],Desc[]
01:42:35:906555|0069-00001:PSH::VarName[eslib.high_load_factor],VarValue[2],Type[3],Desc[]
01:42:35:906561|0065-00001:PSH::VarName[tickdata.precision],VarValue[0],Type[3],Desc[]
01:42:35:906567|0062-00001:PSH::VarName[keystores_path],VarValue[.\],Type[3],Desc[]
01:42:35:906572|0053-00001:PSH::VarName[LOGSDIR],VarValue[],Type[3],Desc[]
01:42:35:906579|0063-00001:PSH::VarName[memoryalert.red],VarValue[50],Type[3],Desc[]
01:42:35:906585|0077-00001:PSH::VarName[object_collisions_report_time],VarValue[60],Type[3],Desc[]
01:42:35:906591|0049-00001:PSH::VarName[www],VarValue[],Type[3],Desc[]
01:42:35:906597|0060-00001:PSH::VarName[maxlogsize],VarValue[1024],Type[3],Desc[]
01:42:35:906603|0061-00001:PSH::VarName[logsbuffersize],VarValue[1],Type[3],Desc[]
01:42:35:906609|0062-00001:PSH::VarName[ent_reqtimeout],VarValue[60],Type[3],Desc[]
01:42:35:906614|0062-00001:PSH::VarName[COMPONENT],VarValue[unknown],Type[3],Desc[]
01:42:35:906620|0055-00001:PSH::VarName[statime],VarValue[60],Type[3],Desc[]
01:42:35:906626|0070-00001:PSH::VarName[chain.contentsub.enable],VarValue[0],Type[3],Desc[]
01:42:35:906632|0059-00001:PSH::VarName[cidletimeout],VarValue[5],Type[3],Desc[]
01:42:35:906638|0081-00001:PSH::VarName[ignore_like_type_object_collisions],VarValue[1],Type[3],Desc[]
01:42:35:906643|0079-00001:PSH::VarName[data_dictionary.initial_size],VarValue[15000],Type[3],Desc[]
01:42:35:906649|0059-00001:PSH::VarName[logformat],VarValue[utf8],Type[3],Desc[]
01:42:35:906655|0066-00001:PSH::VarName[cpustat_threshold],VarValue[100],Type[3],Desc[]
01:42:35:906661|0055-00001:PSH::VarName[usemsecs],VarValue[1],Type[3],Desc[]
01:42:35:906667|0065-00001:PSH::VarName[eslib.custom_stats],VarValue[0],Type[3],Desc[]
01:42:35:906673|0061-00001:PSH::VarName[log_threshold],VarValue[10],Type[3],Desc[]
01:42:35:906678|0055-00001:PSH::VarName[rtdelay],VarValue[60],Type[3],Desc[]
01:42:35:906684|0061-00001:PSH::VarName[maxqueuesize],VarValue[128],Type[3],Desc[]
01:42:35:906689|0070-00001:PSH::VarName[audit_source],VarValue[AUDIT_SERVER],Type[3],Desc[]
01:42:35:906695|0056-00001:PSH::VarName[csretry],VarValue[300],Type[3],Desc[]
01:42:35:906701|0060-00001:PSH::VarName[dtblocksize],VarValue[256],Type[3],Desc[]
01:42:35:906706|0061-00001:PSH::VarName[drecorderownobj],VarValue[],Type[3],Desc[]
01:42:35:906739|0057-00001:PSH::VarName[maxdelay],VarValue[200],Type[3],Desc[]
01:42:35:906745|0082-00001:PSH::VarName[ultra_low_latency.driver_timeout],VarValue[5000],Type[3],Desc[]
01:42:35:906751|0061-00001:PSH::VarName[log_name],VarValue[unknown],Type[3],Desc[]
01:42:35:906761|0058-00001:PSH::VarName[redirstderr],VarValue[1],Type[3],Desc[]
